ID	NAME_PATH	SCORE
1	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre director John_Huston @director Key_Largo starring Lauren_Bacall"	6.577038
2	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre director John_Huston @writer Key_Largo starring Lauren_Bacall"	6.577038
3	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre writer John_Huston @director Key_Largo starring Lauren_Bacall"	6.577038
4	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre writer John_Huston @writer Key_Largo starring Lauren_Bacall"	6.577038
5	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre musicComposer Max_Steiner @musicComposer Key_Largo starring Lauren_Bacall"	6.552254
6	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre musicComposer Max_Steiner @music Key_Largo starring Lauren_Bacall"	6.552254
7	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre music Max_Steiner @musicComposer Key_Largo starring Lauren_Bacall"	6.552254
8	"Humphrey_Bogart @starring The_Treasure_of_the_Sierra_Madre music Max_Steiner @music Key_Largo starring Lauren_Bacall"	6.552254
9	"Humphrey_Bogart @starring The_Roaring_Twenties writer Jerry_Wald @producer Key_Largo starring Lauren_Bacall"	6.542154
10	"Humphrey_Bogart @starring Dark_Passage musicComposer Franz_Waxman @musicComposer To_Have_and_Have_Not starring Lauren_Bacall"	6.510218
11	"Humphrey_Bogart @starring Dark_Passage musicComposer Franz_Waxman @music To_Have_and_Have_Not starring Lauren_Bacall"	6.510218
12	"Humphrey_Bogart @starring Dark_Passage music Franz_Waxman @musicComposer To_Have_and_Have_Not starring Lauren_Bacall"	6.510218
13	"Humphrey_Bogart @starring Dark_Passage music Franz_Waxman @music To_Have_and_Have_Not starring Lauren_Bacall"	6.510218
14	"Humphrey_Bogart @starring To_Have_and_Have_Not musicComposer Franz_Waxman @musicComposer Dark_Passage starring Lauren_Bacall"	6.510218
15	"Humphrey_Bogart @starring To_Have_and_Have_Not musicComposer Franz_Waxman @music Dark_Passage starring Lauren_Bacall"	6.510218
16	"Humphrey_Bogart @starring To_Have_and_Have_Not music Franz_Waxman @musicComposer Dark_Passage starring Lauren_Bacall"	6.510218
17	"Humphrey_Bogart @starring To_Have_and_Have_Not music Franz_Waxman @music Dark_Passage starring Lauren_Bacall"	6.510218
18	"Humphrey_Bogart @starring The_African_Queen director John_Huston @director Key_Largo starring Lauren_Bacall"	6.497038
19	"Humphrey_Bogart @starring The_African_Queen director John_Huston @writer Key_Largo starring Lauren_Bacall"	6.497038
20	"Humphrey_Bogart @starring The_African_Queen writer John_Huston @director Key_Largo starring Lauren_Bacall"	6.497038
21	"Humphrey_Bogart @starring The_African_Queen writer John_Huston @writer Key_Largo starring Lauren_Bacall"	6.497038
22	"Humphrey_Bogart @starring In_a_Lonely_Place screenplay Edmund_H._North @screenplay Young_Man_with_a_Horn starring Lauren_Bacall"	6.49581
23	"Humphrey_Bogart @starring In_a_Lonely_Place screenplay Edmund_H._North @writer Young_Man_with_a_Horn starring Lauren_Bacall"	6.49581
24	"Humphrey_Bogart @starring In_a_Lonely_Place writer Edmund_H._North @screenplay Young_Man_with_a_Horn starring Lauren_Bacall"	6.49581
